__builtin_msa_clti_u_d	v2i64	v2u64 a, int imm0_31
__builtin_msa_clti_u_h	v8i16	v8u16 a, int imm0_31
__builtin_msa_clti_u_w	v4i32	v4u32 a, int imm0_31
__builtin_msa_copy_s_b	i32	v16i8 a, int imm0_15
__builtin_msa_copy_s_d	i64	v2i64 a, int imm0_1
__builtin_msa_copy_s_h	i32	v8i16 a, int imm0_7
__builtin_msa_copy_s_w	i32	v4i32 a, int imm0_3
__builtin_msa_copy_u_b	u32	v16i8 a, int imm0_15
__builtin_msa_copy_u_d	u64	v2i64 a, int imm0_1
__builtin_msa_copy_u_h	u32	v8i16 a, int imm0_7
__builtin_msa_copy_u_w	u32	v4i32 a, int imm0_3
__builtin_msa_ctcmsa	void	int imm0_31, i32 imm
__builtin_msa_div_s_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_div_s_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_div_s_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_div_s_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_div_u_b	v16u8	v16u8 a, v16u8 b
__builtin_msa_div_u_d	v2u64	v2u64 a, v2u64 b
__builtin_msa_div_u_h	v8u16	v8u16 a, v8u16 b
__builtin_msa_div_u_w	v4u32	v4u32 a, v4u32 b
__builtin_msa_dotp_s_d	v2i64	v4i32 a, v4i32 b
__builtin_msa_dotp_s_h	v8i16	v16i8 a, v16i8 b
__builtin_msa_dotp_s_w	v4i32	v8i16 a, v8i16 b
__builtin_msa_dotp_u_d	v2u64	v4u32 a, v4u32 b
__builtin_msa_dotp_u_h	v8u16	v16u8 a, v16u8 b
__builtin_msa_dotp_u_w	v4u32	v8u16 a, v8u16 b
__builtin_msa_dpadd_s_d	v2i64	v2i64 a, v4i32 b, v4i32 c
__builtin_msa_dpadd_s_h	v8i16	v8i16 a, v16i8 b, v16i8 c
__builtin_msa_dpadd_s_w	v4i32	v4i32 a, v8i16 b, v8i16 c
__builtin_msa_dpadd_u_d	v2u64	v2u64 a, v4u32 b, v4u32 c
__builtin_msa_dpadd_u_h	v8u16	v8u16 a, v16u8 b, v16u8 c
__builtin_msa_dpadd_u_w	v4u32	v4u32 a, v8u16 b, v8u16 c
__builtin_msa_dpsub_s_d	v2i64	v2i64 a, v4i32 b, v4i32 c
__builtin_msa_dpsub_s_h	v8i16	v8i16 a, v16i8 b, v16i8 c
__builtin_msa_dpsub_s_w	v4i32	v4i32 a, v8i16 b, v8i16 c
__builtin_msa_dpsub_u_d	v2i64	v2i64 a, v4u32 b, v4u32 c
__builtin_msa_dpsub_u_h	v8i16	v8i16 a, v16u8 b, v16u8 c
__builtin_msa_dpsub_u_w	v4i32	v4i32 a, v8u16 b, v8u16 c
__builtin_msa_fadd_d	v2f64	v2f64 a, v2f64 b
__builtin_msa_fadd_w	v4f32	v4f32 a, v4f32 b
__builtin_msa_fcaf_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fcaf_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fceq_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fceq_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fclass_d	v2i64	v2f64 a
__builtin_msa_fclass_w	v4i32	v4f32 a
__builtin_msa_fcle_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fcle_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fclt_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fclt_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fcne_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fcne_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fcor_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fcor_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fcueq_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fcueq_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fcule_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fcule_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fcult_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fcult_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fcun_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fcun_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fcune_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fcune_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fdiv_d	v2f64	v2f64 a, v2f64 b
__builtin_msa_fdiv_w	v4f32	v4f32 a, v4f32 b
__builtin_msa_fexdo_h	v8i16	v4f32 a, v4f32 b
__builtin_msa_fexdo_w	v4f32	v2f64 a, v2f64 b
__builtin_msa_fexp2_d	v2f64	v2f64 a, v2i64 b
__builtin_msa_fexp2_w	v4f32	v4f32 a, v4i32 b
__builtin_msa_fexupl_d	v2f64	v4f32 a
__builtin_msa_fexupl_w	v4f32	v8i16 a
__builtin_msa_fexupr_d	v2f64	v4f32 a
__builtin_msa_fexupr_w	v4f32	v8i16 a
__builtin_msa_ffint_s_d	v2f64	v2i64 a
__builtin_msa_ffint_s_w	v4f32	v4i32 a
__builtin_msa_ffint_u_d	v2f64	v2u64 a
__builtin_msa_ffint_u_w	v4f32	v4u32 a
__builtin_msa_ffql_d	v2f64	v4i32 a
__builtin_msa_ffql_w	v4f32	v8i16 a
__builtin_msa_ffqr_d	v2f64	v4i32 a
__builtin_msa_ffqr_w	v4f32	v8i16 a
__builtin_msa_fill_b	v16i8	i32 imm
__builtin_msa_fill_d	v2i64	i64 imm
__builtin_msa_fill_h	v8i16	i32 imm
__builtin_msa_fill_w	v4i32	i32 imm
__builtin_msa_flog2_d	v2f64	v2f64 a
__builtin_msa_flog2_w	v4f32	v4f32 a
__builtin_msa_fmadd_d	v2f64	v2f64 a, v2f64 b, v2f64 c
__builtin_msa_fmadd_w	v4f32	v4f32 a, v4f32 b, v4f32 c
__builtin_msa_fmax_a_d	v2f64	v2f64 a, v2f64 b
__builtin_msa_fmax_a_w	v4f32	v4f32 a, v4f32 b
__builtin_msa_fmax_d	v2f64	v2f64 a, v2f64 b
__builtin_msa_fmax_w	v4f32	v4f32 a, v4f32 b
__builtin_msa_fmin_a_d	v2f64	v2f64 a, v2f64 b
__builtin_msa_fmin_a_w	v4f32	v4f32 a, v4f32 b
__builtin_msa_fmin_d	v2f64	v2f64 a, v2f64 b
__builtin_msa_fmin_w	v4f32	v4f32 a, v4f32 b
__builtin_msa_fmsub_d	v2f64	v2f64 a, v2f64 b, v2f64 c
__builtin_msa_fmsub_w	v4f32	v4f32 a, v4f32 b, v4f32 c
__builtin_msa_fmul_d	v2f64	v2f64 a, v2f64 b
__builtin_msa_fmul_w	v4f32	v4f32 a, v4f32 b
__builtin_msa_frcp_d	v2f64	v2f64 a
__builtin_msa_frcp_w	v4f32	v4f32 a
__builtin_msa_frint_d	v2f64	v2f64 a
__builtin_msa_frint_w	v4f32	v4f32 a
__builtin_msa_frsqrt_d	v2f64	v2f64 a
__builtin_msa_frsqrt_w	v4f32	v4f32 a
__builtin_msa_fsaf_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fsaf_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fseq_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fseq_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fsle_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fsle_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fslt_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fslt_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fsne_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fsne_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fsor_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fsor_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fsqrt_d	v2f64	v2f64 a
__builtin_msa_fsqrt_w	v4f32	v4f32 a
__builtin_msa_fsub_d	v2f64	v2f64 a, v2f64 b
__builtin_msa_fsub_w	v4f32	v4f32 a, v4f32 b
__builtin_msa_fsueq_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fsueq_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fsule_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fsule_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fsult_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fsult_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fsun_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fsun_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_fsune_d	v2i64	v2f64 a, v2f64 b
__builtin_msa_fsune_w	v4i32	v4f32 a, v4f32 b
__builtin_msa_ftint_s_d	v2i64	v2f64 a
__builtin_msa_ftint_s_w	v4i32	v4f32 a
__builtin_msa_ftint_u_d	v2u64	v2f64 a
__builtin_msa_ftint_u_w	v4u32	v4f32 a
__builtin_msa_ftq_h	v8i16	v4f32 a, v4f32 b
__builtin_msa_ftq_w	v4i32	v2f64 a, v2f64 b
__builtin_msa_ftrunc_s_d	v2i64	v2f64 a
__builtin_msa_ftrunc_s_w	v4i32	v4f32 a
__builtin_msa_ftrunc_u_d	v2u64	v2f64 a
__builtin_msa_ftrunc_u_w	v4u32	v4f32 a
__builtin_msa_hadd_s_d	v2i64	v4i32 a, v4i32 b
__builtin_msa_hadd_s_h	v8i16	v16i8 a, v16i8 b
__builtin_msa_hadd_s_w	v4i32	v8i16 a, v8i16 b
__builtin_msa_hadd_u_d	v2u64	v4u32 a, v4u32 b
__builtin_msa_hadd_u_h	v8u16	v16u8 a, v16u8 b
__builtin_msa_hadd_u_w	v4u32	v8u16 a, v8u16 b
__builtin_msa_hsub_s_d	v2i64	v4i32 a, v4i32 b
__builtin_msa_hsub_s_h	v8i16	v16i8 a, v16i8 b
__builtin_msa_hsub_s_w	v4i32	v8i16 a, v8i16 b
__builtin_msa_hsub_u_d	v2i64	v4u32 a, v4u32 b
__builtin_msa_hsub_u_h	v8i16	v16u8 a, v16u8 b
__builtin_msa_hsub_u_w	v4i32	v8u16 a, v8u16 b
__builtin_msa_ilvev_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_ilvev_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_ilvev_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_ilvev_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_ilvl_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_ilvl_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_ilvl_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_ilvl_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_ilvod_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_ilvod_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_ilvod_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_ilvod_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_ilvr_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_ilvr_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_ilvr_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_ilvr_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_insert_b	v16i8	v16i8 a, int imm0_15, i32 imm
__builtin_msa_insert_d	v2i64	v2i64 a, int imm0_1, i64 imm
__builtin_msa_insert_h	v8i16	v8i16 a, int imm0_7, i32 imm
__builtin_msa_insert_w	v4i32	v4i32 a, int imm0_3, i32 imm
__builtin_msa_insve_b	v16i8	v16i8 a, int imm0_15, v16i8 b
__builtin_msa_insve_d	v2i64	v2i64 a, int imm0_1, v2i64 b
__builtin_msa_insve_h	v8i16	v8i16 a, int imm0_7, v8i16 b
__builtin_msa_insve_w	v4i32	v4i32 a, int imm0_3, v4i32 b
__builtin_msa_ld_b	v16i8	void * mem, int imm_n512_511
